question_id,question,question_type,level,condition,reference_answer,generated_answer,f1,exact_match,retrieval_recall,context_words,retrieved_ids
5adbf44355429944faac23ce,In which county does the  8th Military Police Brigade  of the United States Army's Barracks located?,bridge,hard,clean,Honolulu,Honolulu County.,0.6666666666666666,0,1.0,281,"P3,P4,P7,P5"
5adbf44355429944faac23ce,In which county does the  8th Military Police Brigade  of the United States Army's Barracks located?,bridge,hard,remove_one,Honolulu,Honolulu County.,0.6666666666666666,0,1.0,287,"P4,P7,P5,P1"
5adbf44355429944faac23ce,In which county does the  8th Military Police Brigade  of the United States Army's Barracks located?,bridge,hard,remove_all,Honolulu,I don't know.,0.0,0,,243,"P7,P5,P1,P0"
5adbf44355429944faac23ce,In which county does the  8th Military Police Brigade  of the United States Army's Barracks located?,bridge,hard,contaminated,Honolulu,I cannot answer based on the given evidence.,0.0,0,,227,"P7,P1,P9,P5"
5a7265a95542992359bc307a,In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?,bridge,hard,clean,in 2000,2000,0.6666666666666666,0,1.0,358,"P4,P5,P1,P6"
5a7265a95542992359bc307a,In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?,bridge,hard,remove_one,in 2000,I don't know.,0.0,0,1.0,322,"P5,P1,P6,P3"
5a7265a95542992359bc307a,In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?,bridge,hard,remove_all,in 2000,2000,0.6666666666666666,0,,332,"P1,P6,P3,P7"
5a7265a95542992359bc307a,In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?,bridge,hard,contaminated,in 2000,Cannot answer based on the provided evidence.,0.0,0,,318,"P1,P6,P3,P0"
5a886098554299206df2b248,What type of profession does Alexandra David-Néel and Jack Kerouac have in common?,bridge,hard,clean,writer,Writer,1.0,1,0.5,587,"P9,P4,P1,P8"
5a886098554299206df2b248,What type of profession does Alexandra David-Néel and Jack Kerouac have in common?,bridge,hard,remove_one,writer,Writer.,1.0,1,1.0,587,"P9,P4,P1,P8"
5a886098554299206df2b248,What type of profession does Alexandra David-Néel and Jack Kerouac have in common?,bridge,hard,remove_all,writer,Writer,1.0,1,,593,"P4,P1,P8,P6"
5a886098554299206df2b248,What type of profession does Alexandra David-Néel and Jack Kerouac have in common?,bridge,hard,contaminated,writer,The evidence does not provide information about Alexandra David‑Néel’s profession.,0.0,0,,607,"P4,P1,D0,P8"
5addc7e35542997545bbbdbe,"Which areas of the United States were still able to deny sames sex marriages after the case in which Edith ""Edie"" Windsor was the main plaintiff?",bridge,hard,clean,"American Samoa, but not on all Native American tribal lands",The evidence does not provide that information.,0.125,0,0.5,466,"P9,P8,P3,P1"
5addc7e35542997545bbbdbe,"Which areas of the United States were still able to deny sames sex marriages after the case in which Edith ""Edie"" Windsor was the main plaintiff?",bridge,hard,remove_one,"American Samoa, but not on all Native American tribal lands","I’m sorry, but the provided evidence does not contain the information needed to answer that question.",0.16666666666666666,0,1.0,466,"P9,P3,P8,P1"
5addc7e35542997545bbbdbe,"Which areas of the United States were still able to deny sames sex marriages after the case in which Edith ""Edie"" Windsor was the main plaintiff?",bridge,hard,remove_all,"American Samoa, but not on all Native American tribal lands","I’m sorry, but I can’t answer that question based on the evidence you provided.",0.17391304347826086,0,,446,"P3,P8,P1,P6"
5addc7e35542997545bbbdbe,"Which areas of the United States were still able to deny sames sex marriages after the case in which Edith ""Edie"" Windsor was the main plaintiff?",bridge,hard,contaminated,"American Samoa, but not on all Native American tribal lands",The provided evidence does not contain information about which areas of the United States were still able to deny same‑sex marriages after the Windsor case.,0.06250000000000001,0,,446,"P3,P8,P1,P6"
5a7a3cea5542994f819ef182,Where was one of the runners born who almost broke Craig Virgin's Illinois Boys Cross Country record?,bridge,hard,clean,"Kaunas, Lithuania","Peoria, Illinois.",0.0,0,0.5,480,"P5,P1,P3,P8"
5a7a3cea5542994f819ef182,Where was one of the runners born who almost broke Craig Virgin's Illinois Boys Cross Country record?,bridge,hard,remove_one,"Kaunas, Lithuania","Peoria, Illinois.",0.0,0,0.0,441,"P1,P3,P8,P9"
5a7a3cea5542994f819ef182,Where was one of the runners born who almost broke Craig Virgin's Illinois Boys Cross Country record?,bridge,hard,remove_all,"Kaunas, Lithuania","Peoria, Illinois",0.0,0,,441,"P1,P8,P3,P9"
5a7a3cea5542994f819ef182,Where was one of the runners born who almost broke Craig Virgin's Illinois Boys Cross Country record?,bridge,hard,contaminated,"Kaunas, Lithuania","Peoria, Illinois",0.0,0,,441,"P1,P8,P3,P9"
5a7525405542993748c897ce,"What is the name of the American author, songwriter, educator, lawyer, diplomat, civil rights activist and husband to Grace Nail Johnson who was the first African American executive secretary of the National Association for the Advancement of Colored People (NAACP)?",bridge,hard,clean,James Weldon Johnson,James Weldon Johnson,1.0,1,1.0,292,"P2,P8,P0,P5"
5a7525405542993748c897ce,"What is the name of the American author, songwriter, educator, lawyer, diplomat, civil rights activist and husband to Grace Nail Johnson who was the first African American executive secretary of the National Association for the Advancement of Colored People (NAACP)?",bridge,hard,remove_one,James Weldon Johnson,James Weldon Johnson,1.0,1,1.0,290,"P8,P0,P5,P3"
5a7525405542993748c897ce,"What is the name of the American author, songwriter, educator, lawyer, diplomat, civil rights activist and husband to Grace Nail Johnson who was the first African American executive secretary of the National Association for the Advancement of Colored People (NAACP)?",bridge,hard,remove_all,James Weldon Johnson,James Weldon Johnson,1.0,1,,314,"P0,P5,P3,P7"
5a7525405542993748c897ce,"What is the name of the American author, songwriter, educator, lawyer, diplomat, civil rights activist and husband to Grace Nail Johnson who was the first African American executive secretary of the National Association for the Advancement of Colored People (NAACP)?",bridge,hard,contaminated,James Weldon Johnson,James Weldon Johnson,1.0,1,,314,"P0,P5,P3,P7"
5a8f08c2554299458435d530,"Sian Gibson co-wrote which British sitcom, set around a supermarket and car share scheme?",bridge,hard,clean,Peter Kay's Car Share,Peter Kay's Car Share,1.0,1,1.0,182,"P9,P7,P3,P1"
5a8f08c2554299458435d530,"Sian Gibson co-wrote which British sitcom, set around a supermarket and car share scheme?",bridge,hard,remove_one,Peter Kay's Car Share,Peter Kay’s Car Share,0.75,0,1.0,267,"P9,P7,P6,P1"
5a8f08c2554299458435d530,"Sian Gibson co-wrote which British sitcom, set around a supermarket and car share scheme?",bridge,hard,remove_all,Peter Kay's Car Share,Trollied,0.0,0,,343,"P7,P8,P6,P5"
5a8f08c2554299458435d530,"Sian Gibson co-wrote which British sitcom, set around a supermarket and car share scheme?",bridge,hard,contaminated,Peter Kay's Car Share,Trollied,0.0,0,,331,"P7,P6,D0,P5"
5ae0f73d55429920d5234252,"Where was the Super Bowl, that Alan Faneca won, played ?",bridge,hard,clean,Ford Field in Detroit,"I’m sorry, but I don’t know.",0.0,0,0.5,591,"P0,P4,P7,P8"
5ae0f73d55429920d5234252,"Where was the Super Bowl, that Alan Faneca won, played ?",bridge,hard,remove_one,Ford Field in Detroit,"Georgia Dome in Atlanta, Georgia.",0.22222222222222224,0,0.0,585,"P4,P1,P7,P8"
5ae0f73d55429920d5234252,"Where was the Super Bowl, that Alan Faneca won, played ?",bridge,hard,remove_all,Ford Field in Detroit,"Georgia Dome in Atlanta, Georgia",0.22222222222222224,0,,585,"P4,P1,P7,P8"
5ae0f73d55429920d5234252,"Where was the Super Bowl, that Alan Faneca won, played ?",bridge,hard,contaminated,Ford Field in Detroit,"Detroit, Michigan.",0.3333333333333333,0,,585,"P4,P1,P7,P8"
5ac440385542997ea680ca4e,Carl von Donop was a colonel of which German auxiliaries?,bridge,hard,clean,Hessians,Hessian auxiliaries.,0.0,0,0.5,167,"P8,P5,P1,P6"
5ac440385542997ea680ca4e,Carl von Donop was a colonel of which German auxiliaries?,bridge,hard,remove_one,Hessians,Hessian auxiliaries.,0.0,0,1.0,309,"P8,P1,P5,P2"
5ac440385542997ea680ca4e,Carl von Donop was a colonel of which German auxiliaries?,bridge,hard,remove_all,Hessians,Hessian auxiliaries.,0.0,0,,303,"P5,P1,P6,P2"
5ac440385542997ea680ca4e,Carl von Donop was a colonel of which German auxiliaries?,bridge,hard,contaminated,Hessians,Hessian auxiliaries.,0.0,0,,174,"P5,P6,P9,P1"
5a90945755429933b8a2056c,"John Constantine Williams, Sr was cofounder of a Florida city located in what county?",bridge,hard,clean,Pinellas County,Pinellas County.,1.0,1,1.0,185,"P7,P0,P3,P8"
5a90945755429933b8a2056c,"John Constantine Williams, Sr was cofounder of a Florida city located in what county?",bridge,hard,remove_one,Pinellas County,Pinellas County,1.0,1,1.0,243,"P7,P0,P8,P1"
5a90945755429933b8a2056c,"John Constantine Williams, Sr was cofounder of a Florida city located in what county?",bridge,hard,remove_all,Pinellas County,Pinellas County,1.0,1,,258,"P0,P8,P4,P1"
5a90945755429933b8a2056c,"John Constantine Williams, Sr was cofounder of a Florida city located in what county?",bridge,hard,contaminated,Pinellas County,Pinellas County.,1.0,1,,320,"P0,D0,P8,P1"
5ab864945542990e739ec8e1,Substorm was described in qualitative terms by a scientist nominated for what seven times?,bridge,hard,clean,Nobel Prize,the Nobel Prize.,1.0,1,1.0,443,"P8,P1,P4,P7"
5ab864945542990e739ec8e1,Substorm was described in qualitative terms by a scientist nominated for what seven times?,bridge,hard,remove_one,Nobel Prize,the Nobel Prize.,1.0,1,1.0,479,"P8,P7,P4,P5"
5ab864945542990e739ec8e1,Substorm was described in qualitative terms by a scientist nominated for what seven times?,bridge,hard,remove_all,Nobel Prize,the Nobel Prize,1.0,1,,499,"P7,P4,P5,P9"
5ab864945542990e739ec8e1,Substorm was described in qualitative terms by a scientist nominated for what seven times?,bridge,hard,contaminated,Nobel Prize,the Nobel Prize,1.0,1,,476,"P7,D0,P4,P3"
5a80b8845542992bc0c4a7de,"In regards to the 2015 animation film based on The True Meaning of Smekday, who produced a song that was sung by a Barbadian?",bridge,hard,clean,Stargate,Stargate,1.0,1,1.0,250,"P7,P6,P1,P2"
5a80b8845542992bc0c4a7de,"In regards to the 2015 animation film based on The True Meaning of Smekday, who produced a song that was sung by a Barbadian?",bridge,hard,remove_one,Stargate,Rihanna,0.0,0,1.0,437,"P7,P6,P9,P4"
5a80b8845542992bc0c4a7de,"In regards to the 2015 animation film based on The True Meaning of Smekday, who produced a song that was sung by a Barbadian?",bridge,hard,remove_all,Stargate,Chris Jenkins,0.0,0,,352,"P9,P7,P2,P4"
5a80b8845542992bc0c4a7de,"In regards to the 2015 animation film based on The True Meaning of Smekday, who produced a song that was sung by a Barbadian?",bridge,hard,contaminated,Stargate,No answer found in the provided evidence.,0.0,0,,353,"D0,P7,D1,P2"
5a7943ea5542994bb9456fd3,What did Pioneer 4 fly by before inserting into the type orbit that planets of the Solar System are in around the sun?,bridge,hard,clean,Moon's surface,The Moon.,0.0,0,1.0,417,"P3,P8,P6,P9"
5a7943ea5542994bb9456fd3,What did Pioneer 4 fly by before inserting into the type orbit that planets of the Solar System are in around the sun?,bridge,hard,remove_one,Moon's surface,The Moon.,0.0,0,1.0,561,"P8,P9,P6,P2"
5a7943ea5542994bb9456fd3,What did Pioneer 4 fly by before inserting into the type orbit that planets of the Solar System are in around the sun?,bridge,hard,remove_all,Moon's surface,The Moon.,0.0,0,,557,"P9,P6,P2,P5"
